0,1,2,3,4,5,label
0.67160093,0.33932388,-0.18589744,1.2476373,-0.37786573,1.2512401000000002,0
0.45479077,-0.12515436,-0.230979,0.50037395,1.0762812,0.93738818,0
0.18106794,-0.032258713,1.3017940000000001,0.27041431,0.065934697,1.2360046,0
0.78695072,0.62685802,-0.27606055,0.71134611,-0.37786573,0.55954706,0
-0.11806233,-0.45250093,-0.230979,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
1.2066816,4.917752200000001,-0.18589744,0.96071519,-0.37786573,0.37062649,0
0.57996476,0.46760834,0.35508128,0.85185356,-0.37786573,1.4584433,0
0.047594183,0.09160215,1.6624465,1.1484803999999997,-0.37786573,0.91910555,0
-0.22595927,-0.3994177,-0.230979,-0.85955255,-0.37786573,-0.94572324,0
0.60164578,0.60031641,0.30999972,0.88560911,0.72806294,1.0562253000000001,0
-0.21935333,-0.44807732,-0.32114211,-0.85955255,-0.37786573,-0.94572324,0
1.5486658000000002,-0.39057049,-0.50146835,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.48714291,0.10044935,-0.45638679,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.12517157,-0.20920279999999997,-0.18589744,0.6303328,-0.37786573,1.2847583,0
-0.18818687,-0.44807732,-0.230979,-0.85955255,-0.37786573,-0.94572324,0
0.17463139,-0.22689721,-0.095734317,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.23628678,-0.18266119,0.44524439,-0.85955255,-0.37786573,-0.94572324,0
0.47155968,-0.16054318,0.40016284,0.64889835,-0.37786573,1.0714608,0
0.14532814,-0.0012934972,-0.230979,1.1961601,-0.37786573,1.4371135,0
0.10416808,-0.24901522,0.40016284,0.89826744,1.2847313999999999,1.2725698,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.016601952,-0.25786243,0.49032595,1.0088168,0.34711695,1.4096896,0
0.036584292000000004,-0.25343882,-0.59163147,0.97674908,-0.37786573,0.19694146,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
1.2688452,5.0460367,-0.50146835,0.89109438,-0.37786573,0.20608278,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.18191970000000002,-0.16496678,0.2198366,0.72780194,-0.37786573,0.56259416,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.55472671,1.4142591999999998,0.44524439,0.9636688,-0.37786573,0.96176503,0
0.049796161,-0.41711211,-0.45638679,1.1240076,4.9025988,1.3792185,0
-0.51966928,-0.35075807,2.1583436000000003,0.55142922,0.34738036,1.1781095,0
0.23408479999999998,-0.44807732,0.58048907,-0.85955255,-0.37786573,-0.94572324,0
